vectorized_numba.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.282, Time: 0.529685 s
         7100336 function calls (6730662 primitive calls) in 6.639 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 __init__.py:438(__init__)
       10    0.000    0.000    0.000    0.000 __init__.py:44(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:445(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:450(SelectableGroups)
        1    0.000    0.000    0.109    0.109 __init__.py:456(load)
       12    0.000    0.000    0.000    0.000 __init__.py:461(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:463(_all)
        1    0.000    0.000    0.000    0.000 __init__.py:47(PackageNotFoundError)
        1    0.000    0.000    0.000    0.000 __init__.py:479(StringTemplateStyle)
       60    0.002    0.000    0.002    0.000 __init__.py:48(create_string_buffer)
       18    0.000    0.000    0.000    0.000 __init__.py:482(cycler)
        2    0.000    0.000    0.000    0.000 __init__.py:484(select)
        1    0.000    0.000    0.000    0.000 __init__.py:490(PackagePath)
        1    0.000    0.000    0.000    0.000 __init__.py:495(_get_xdg_config_dir)
        3    0.000    0.000    0.000    0.000 __init__.py:501(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:502(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:505(_get_xdg_cache_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:506(FileHash)
     1059    0.002    0.000    0.002    0.000 __init__.py:509(cast)
       37    0.001    0.000    0.001    0.000 __init__.py:513(string_at)
        1    0.000    0.000    0.000    0.000 __init__.py:514(Distribution)
        2    0.000    0.000    0.000    0.000 __init__.py:514(_get_config_or_cache_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:522(Formatter)
       18    0.000    0.000    0.000    0.000 __init__.py:546(_cycler)
        1    0.000    0.000    0.000    0.000 __init__.py:550(discover)
        1    0.000    0.000    0.000    0.000 __init__.py:552(get_configdir)
        8    0.000    0.000    0.000    0.000 __init__.py:56(__init_subclass__)
        8    0.000    0.000    0.000    0.000 __init__.py:56(fget)
        2    0.000    0.000    0.000    0.000 __init__.py:564(<genexpr>)
      134    0.000    0.000    0.000    0.000 __init__.py:565(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:567(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:571(get_cachedir)
        1    0.000    0.000    0.000    0.000 __init__.py:577(_discover_resolvers)
       38    0.000    0.000    0.000    0.000 __init__.py:579(__missing__)
        5    0.000    0.000    0.000    0.000 __init__.py:580(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:582(get_data_path)
        1    0.000    0.000    0.001    0.001 __init__.py:588(matplotlib_fname)
        1    0.000    0.000    0.000    0.000 __init__.py:59(Sectioned)
        4    0.000    0.000    0.000    0.000 __init__.py:609(gen_candidates)
       18    0.000    0.000    0.000    0.000 __init__.py:62(_process_keys)
       87    0.000    0.000    0.006    0.000 __init__.py:629(entry_points)
       11    0.000    0.000    0.000    0.000 __init__.py:64(check_isinstance)
      134    0.000    0.000    0.000    0.000 __init__.py:640(update)
        1    0.000    0.000    0.000    0.000 __init__.py:645(RcParams)
       32    0.000    0.000    0.000    0.000 __init__.py:667(__init__)
