Numba_LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.392, Time: 3.304862 s
         8275165 function calls (7831564 primitive calls) in 10.013 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:163(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:167(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:167(check_getitem)
        1    0.000    0.000    0.000    0.000 __init__.py:17(_init)
        1    0.000    0.000    0.000    0.000 __init__.py:171(c_long)
        5    0.000    0.000    0.000    0.000 __init__.py:1710(getEffectiveLevel)
     9185    0.002    0.000    0.002    0.000 __init__.py:1724(isEnabledFor)
        1    0.000    0.000    0.000    0.000 __init__.py:175(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:1778(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1784(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1795(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:184(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:185(_try_enable_svml)
       90    0.000    0.000    0.000    0.000 __init__.py:185(keys)
        1    0.000    0.000    0.000    0.000 __init__.py:188(c_uint)
        2    0.000    0.000    0.000    0.000 __init__.py:188(caching_module_getattr)
       85    0.000    0.000    0.000    0.000 __init__.py:190(_for)
       18    0.000    0.000    0.000    0.000 __init__.py:190(change_key)
        1    0.000    0.000    0.000    0.000 __init__.py:192(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:192(c_float)
       39    0.000    0.000    0.000    0.000 __init__.py:193(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:196(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:200(c_longdouble)
       37    0.000    0.000    0.001    0.000 __init__.py:2071(getLogger)
        2    0.000    0.000    0.000    0.000 __init__.py:209(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:21(__deprecated_private_func)
       85    0.000    0.000    0.000    0.000 __init__.py:211(matches)
       21    0.000    0.000    0.000    0.000 __init__.py:213(__getattr__)
       44    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:2203(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:221(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:221(c_ubyte)
       12    0.000    0.000    0.001    0.000 __init__.py:223(define_aliases)
       18    0.000    0.000    0.000    0.000 __init__.py:226(_from_iter)
       44    0.000    0.000    0.000    0.000 __init__.py:228(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:228(c_byte)
      170    0.000    0.000    0.000    0.000 __init__.py:231(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:233(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:234(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:235(DeprecatedList)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char_p)
        2    0.000    0.000    0.000    0.000 __init__.py:24(extract_version)
        1    0.000    0.000    0.005    0.005 __init__.py:240(_check_versions)
        1    0.000    0.000    0.000    0.000 __init__.py:244(c_void_p)
       84    0.000    0.000    0.000    0.000 __init__.py:244(make_alias)
      138    0.000    0.000    0.000    0.000 __init__.py:247(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:247(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 __init__.py:249(c_bool)
       81    0.000    0.000    0.000    0.000 __init__.py:25(decorator)
        1    0.000    0.000    0.000    0.000 __init__.py:254(c_wchar_p)
      138    0.000    0.000    0.000    0.000 __init__.py:259(__iter__)
        1    0.000    0.000    0.000    0.000 __init__.py:259(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
       12    0.000    0.000    0.000    0.000 __init__.py:264(get_aliased_and_aliases)
       57    0.000    0.000    0.000    0.000 __init__.py:265(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:27(classproperty)
        1    0.000    0.000    0.000    0.000 __init__.py:271(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:273(<dictcomp>)
        1    0.000    0.000    0.001    0.001 __init__.py:274(load)
      256    0.001    0.000    0.001    0.000 __init__.py:290(__getattr__)
        2    0.000    0.000    0.001    0.000 __init__.py:299(loads)
        6    0.000    0.000    0.000    0.000 __init__.py:312(_logged_cached)
        1    0.000    0.000    0.000    0.000 __init__.py:316(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:319(CDLL)
      105    0.005    0.000    0.013    0.000 __init__.py:328(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:330(EntryPoints)
      105    0.000    0.000    0.000    0.000 __init__.py:331(wrapper)
        2    0.000    0.000    0.006    0.003 __init__.py:340(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:346(ExecutableNotFoundError)
        1    0.000    0.000    0.000    0.000 __init__.py:351(_sanity_check)
 3538/834    0.001    0.000    0.001    0.000 __init__.py:353(recursive_subclasses)
        1    0.000    0.000    0.000    0.000 __init__.py:354(select)
        1    0.000    0.000    0.000    0.000 __init__.py:359(<genexpr>)
        3    0.000    0.000    0.000    0.000 __init__.py:36(__deprecate_private_class)
        2    0.000    0.000    0.000    0.000 __init__.py:368(_FuncPtr)
       87    0.000    0.000    0.002    0.000 __init__.py:379(_from_text_for)
      172    0.000    0.000    0.002    0.000 __init__.py:381(<genexpr>)
       87    0.000    0.000    0.000    0.000 __init__.py:383(_from_text)
        1    0.000    0.000    0.000    0.000 __init__.py:384(YAMLObjectMetaclass)
      250    0.000    0.000    0.001    0.000 __init__.py:384(__getattr__)
       87    0.000    0.000    0.000    0.000 __init__.py:387(_parse_groups)
        1    0.000    0.000    0.000    0.000 __init__.py:388(__init__)
      172    0.000    0.000    0.001    0.000 __init__.py:389(<genexpr>)
      250    0.001    0.000    0.001    0.000 __init__.py:391(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:395(Deprecated)
        1    0.000    0.000    0.000    0.000 __init__.py:397(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:399(YAMLObject)
        1    0.000    0.000    0.000    0.000 __init__.py:40(YAMLLoadWarning)
      520    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
        1    0.000    0.000    0.001    0.001 __init__.py:412(PercentStyle)
       18    0.000    0.000    0.000    0.000 __init__.py:416(by_key)
        1    0.000    0.000    0.000    0.000 __init__.py:419(__init__)
       85    0.000    0.000    0.000    0.000 __init__.py:420(_make)
        3    0.000    0.000    0.000    0.000 __init__.py:421(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:426(validate)
        3    0.000    0.000    0.000    0.000 __init__.py:43(private_class)
       85    0.000    0.000    0.000    0.000 __init__.py:430(_replace)
        1    0.000    0.000    0.000    0.000 __init__.py:437(LibraryLoader)
       18    0.000    0.000    0.000    0.000 __init__.py:438(<dictcomp>)
        2    0.000    0.000    0.000    0.000 __init__.py:438(__init__)
       10    0.000    0.000    0.000    0.000 __init__.py:44(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:445(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:450(SelectableGroups)
        1    0.000    0.000    0.021    0.021 __init__.py:456(load)
       12    0.000    0.000    0.000    0.000 __init__.py:461(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:463(_all)
